Date,Season,Country,Region,Aircraft,Operator,Schedule,Total on board,Survivors,Total fatalities,Crash cause
1920-07-12,Summer,United Kingdom,Europe,De Havilland DH.9,Royal Air Force - RAF,Kenley - Kenley,2,No,2,Unknown
1920-07-18,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-07-20,Summer,Colombia,South America,Farman F.40,Compañia Colombiana de Navegación Aérea,Cartagena - Barranquilla,3,Yes,2,Human factor
1920-07-21,Summer,United Kingdom,Europe,Avro 504,North Sea Aerial Navigation Company,,3,Yes,0,Unknown
1920-07-27,Summer,Sweden,Europe,Fairey III,P.O. Flygkompani,,2,Yes,0,Technical failure
1920-08-03,Summer,United Kingdom,Europe,Avro 504,North Sea Aerial Navigation Company,Brough - Scarborough,3,Yes,0,Technical failure
1920-08-07,Summer,United Kingdom,Europe,Avro 504,Bournemouth Aviation,Bournemouth - Bournemouth,1,Yes,0,Technical failure
1920-08-11,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-08-12,Summer,United Kingdom,Europe,Fairey III,G. L. P. Henderson,,2,No,2,Unknown
1920-08-12,Summer,Philippines,Asia,De Havilland DH.4,United States Army Air Service - USAAS,,0,Yes,0,Technical failure
1920-08-12,Summer,Canada,North America,Avro 504,Royal Canadian Air Force - RCAF,Camp Borden - Camp Borden,1,Yes,0,Unknown
1920-08-16,Summer,United Kingdom,Europe,De Havilland DH.18,Aircraft Transport %26 Travel - AT%26T,Croydon - Paris,9,Yes,0,Technical failure
1920-08-16,Summer,United Kingdom,Europe,Armstrong Whitworth F.K.8,By Air,,2,Yes,1,Unknown
1920-08-16,Summer,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,College Park - College Park,1,No,1,Human factor
1920-08-18,Summer,Spain,Europe,Breguet 14,Lignes Aériennes Latécoère,,1,Yes,0,Unknown
1920-08-19,Summer,United Kingdom,Europe,Avro 504,Eastbourne Aviation,Brighton - Eastbourne,2,Yes,0,Unknown
1920-08-20,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-08-22,Summer,United Kingdom,Europe,De Havilland DH.9,Aircraft Transport %26 Travel - AT%26T,Paris - Croydon,2,Yes,0,Unknown
1920-08-23,Summer,Canada,North America,De Havilland DH.9,Royal Canadian Air Force - RCAF,,0,,0,Unknown
1920-08-25,Summer,Sweden,Europe,FVM S.18,Swedish Air Force - Flygvapnet,,2,No,2,Unknown
1920-08-26,Summer,Canada,North America,Avro 504,Canadian Aircraft Company,,2,Yes,0,Unknown
1920-08-28,Summer,Switzerland,Europe,Savoia S.16,Regia Marina Italiana,,2,Yes,0,Unknown
1920-08-31,Summer,Switzerland,Europe,Savoia S.13,Ad Astra Aero,,1,No,1,Unknown
1920-09-01,Autumn,United States of America,North America,Junkers-Larsen JL-6 (Junkers F.13),U.S. Air Mail Service,Hazlehurst – Cleveland,2,No,2,Technical failure
1920-09-05,Autumn,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,1,No,1,Technical failure
1920-09-07,Autumn,Switzerland,Europe,Savoia S.9,Finnish Air Force - Suomen Ilmavoimat,,2,No,2,Other causes
1920-09-07,Autumn,Switzerland,Europe,Savoia S.9,Finnish Air Force - Suomen Ilmavoimat,,2,No,2,Other causes
1920-09-10,Autumn,Canada,North America,Curtiss HS-2L,Bishop-Barker Aeroplanes,,0,,0,Unknown
1920-09-14,Autumn,France,Europe,Avro 504,Adastral Air Lines,,3,Yes,0,Unknown
1920-09-14,Autumn,United States of America,North America,Junkers-Larsen JL-6 (Junkers F.13),U.S. Air Mail Service,Cleveland – Chicago,2,No,2,Technical failure
1920-09-15,Autumn,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,Mineola – Northfield,2,Yes,1,Unknown
1920-09-16,Autumn,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-09-20,Autumn,Canada,North America,Curtiss JN-4,Vancouver Island Aerial Service,Alert Bay – Prince Rupert,1,Yes,0,Unknown
1920-09-23,Autumn,United Kingdom,Europe,Avro 504,H. W. B. Hansford,,1,Yes,0,Unknown
1920-09-23,Autumn,Norway,Europe,Supermarine Channel I/II,Det Norske Luftfartrederi - DNL,,1,Yes,0,Technical failure
